username,repo_name,stars,repu_url
localstack,localstack,45300,https://github.com/localstack/localstack
serverless,serverless,45300,https://github.com/serverless/serverless
bregman-arie,devops-exercises,45300,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,45300,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,45300,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,45300,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,45300,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,45300,https://github.com/aws/aws-cli
mozilla,sops,45300,https://github.com/mozilla/sops
donnemartin,awesome-aws,45300,https://github.com/donnemartin/awesome-aws
serverless-stack,sst,45300,https://github.com/serverless-stack/sst
apereo,cas,45300,https://github.com/apereo/cas
caprover,caprover,45300,https://github.com/caprover/caprover
aws,aws-cdk,45300,https://github.com/aws/aws-cdk
aws,chalice,45300,https://github.com/aws/chalice
GoogleCloudPlatform,terraformer,45300,https://github.com/GoogleCloudPlatform/terraformer
angristan,openvpn-install,45300,https://github.com/angristan/openvpn-install
aws-amplify,amplify-js,45300,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,45300,https://github.com/aws/serverless-application-model
google,go-cloud,45300,https://github.com/google/go-cloud
