username,repo_name,stars,repu_url
justjavac,free-programming-books-zh_CN,97900,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,97900,https://github.com/angular/angular
storybookjs,storybook,97900,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,97900,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,97900,https://github.com/ionic-team/ionic-framework
prettier,prettier,97900,https://github.com/prettier/prettier
SheetJS,sheetjs,97900,https://github.com/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,97900,https://github.com/Asabeneh/30-Days-Of-JavaScript
angular,angular-cli,97900,https://github.com/angular/angular-cli
angular,components,97900,https://github.com/angular/components
NativeScript,NativeScript,97900,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,97900,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,97900,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,97900,https://github.com/pubkey/rxdb
teambit,bit,97900,https://github.com/teambit/bit
nrwl,nx,97900,https://github.com/nrwl/nx
sweetalert2,sweetalert2,97900,https://github.com/sweetalert2/sweetalert2
wailsapp,wails,97900,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,97900,https://github.com/sudheerj/javascript-interview-questions
linnovate,mean,97900,https://github.com/linnovate/mean
