username,repo_name,stars,repu_url
ansible,ansible,55800,https://github.com/ansible/ansible
bregman-arie,devops-exercises,55800,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,55800,https://github.com/trailofbits/algo
StreisandEffect,streisand,55800,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,55800,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,55800,https://github.com/kubernetes-sigs/kubespray
ansible,awx,55800,https://github.com/ansible/awx
easzlab,kubeasz,55800,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,55800,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,55800,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,55800,https://github.com/Tikam02/DevOps-Guide
ansible-semaphore,semaphore,55800,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,55800,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,55800,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,55800,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,55800,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,55800,https://github.com/netbootxyz/netboot.xyz
ansible-community,molecule,55800,https://github.com/ansible-community/molecule
litmuschaos,litmus,55800,https://github.com/litmuschaos/litmus
opendevops-cn,opendevops,55800,https://github.com/opendevops-cn/opendevops
