username,repo_name,stars,repu_url
atom,atom,59000,https://github.com/atom/atom
themerdev,themer,59000,https://github.com/themerdev/themer
miniflux,v2,59000,https://github.com/miniflux/v2
nteract,hydrogen,59000,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,59000,https://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,59000,https://github.com/atom/teletype
mmcdole,gofeed,59000,https://github.com/mmcdole/gofeed
mehcode,awesome-atom,59000,https://github.com/mehcode/awesome-atom
NaiboWang,CommandlineConfig,59000,https://github.com/NaiboWang/CommandlineConfig
kurtmckee,feedparser,59000,https://github.com/kurtmckee/feedparser
joefitzgerald,go-plus,59000,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,59000,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,59000,https://github.com/simplepie/simplepie
ocaml,merlin,59000,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,59000,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,59000,https://github.com/MagicStack/MagicPython
atom,apm,59000,https://github.com/atom/apm
file-icons,atom,59000,https://github.com/file-icons/atom
feeddd,feeds,59000,https://github.com/feeddd/feeds
kettanaito,atomic-layout,59000,https://github.com/kettanaito/atomic-layout
