username,repo_name,stars,repu_url
sindresorhus,awesome,231000,https://github.com/sindresorhus/awesome
vinta,awesome-python,231000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,231000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,231000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,231000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,231000,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,231000,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,231000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,231000,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,231000,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,231000,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,231000,https://github.com/MunGell/awesome-for-beginners
wasabeef,awesome-android-ui,231000,https://github.com/wasabeef/awesome-android-ui
prakhar1989,awesome-courses,231000,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,231000,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,231000,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,231000,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,231000,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,231000,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,231000,https://github.com/dypsilon/frontend-dev-bookmarks
