username,repo_name,stars,repu_url
bregman-arie,devops-exercises,35000,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,35000,https://github.com/microsoft/recommenders
pulumi,pulumi,35000,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,35000,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,35000,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,35000,https://github.com/mozilla/sops
caprover,caprover,35000,https://github.com/caprover/caprover
microsoft,computervision-recipes,35000,https://github.com/microsoft/computervision-recipes
google,go-cloud,35000,https://github.com/google/go-cloud
infracost,infracost,35000,https://github.com/infracost/infracost
prowler-cloud,prowler,35000,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,35000,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,35000,https://github.com/node-formidable/formidable
midwayjs,midway,35000,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,35000,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,35000,https://github.com/aquasecurity/tfsec
budtmo,docker-android,35000,https://github.com/budtmo/docker-android
bridgecrewio,checkov,35000,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,35000,https://github.com/nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,35000,https://github.com/cloud-custodian/cloud-custodian
