username,repo_name,stars,repu_url
babel,babel,41800,https://github.com/babel/babel
swc-project,swc,41800,https://github.com/swc-project/swc
nylas,nylas-mail,41800,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,41800,https://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,41800,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,41800,https://github.com/avajs/ava
SimulatedGREG,electron-vue,41800,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,41800,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,41800,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,41800,https://github.com/grommet/grommet
developit,htm,41800,https://github.com/developit/htm
ben-rogerson,twin.macro,41800,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,41800,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,41800,https://github.com/documentationjs/documentation
insin,nwb,41800,https://github.com/insin/nwb
thinkjs,thinkjs,41800,https://github.com/thinkjs/thinkjs
egoist,poi,41800,https://github.com/egoist/poi
fkling,astexplorer,41800,https://github.com/fkling/astexplorer
transitive-bullshit,create-react-library,41800,https://github.com/transitive-bullshit/create-react-library
duxianwei520,react,41800,https://github.com/duxianwei520/react
