username,repo_name,stars,repu_url
jlevy,the-art-of-command-line,123000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,63500,https://github.com/nvm-sh/nvm
junegunn,fzf,48900,https://github.com/junegunn/fzf
google,zx,35500,https://github.com/google/zx
dylanaraps,pure-bash-bible,32700,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,31800,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,31500,https://github.com/starship/starship
koalaman,shellcheck,30900,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,29700,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28600,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,25900,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,22300,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,21000,https://github.com/withfig/autocomplete
dylanaraps,neofetch,16900,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16300,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14700,https://github.com/rbenv/rbenv
shelljs,shelljs,13600,https://github.com/shelljs/shelljs
powerline,powerline,13600,https://github.com/powerline/powerline
Bash-it,bash-it,13300,https://github.com/Bash-it/bash-it
faressoft,terminalizer,13200,https://github.com/faressoft/terminalizer
