username,repo_name,stars,repu_url
bitcoin,bitcoin,67500,https://github.com/bitcoin/bitcoin
ccxt,ccxt,26700,https://github.com/ccxt/ccxt
freqtrade,freqtrade,20200,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17800,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9900,https://github.com/askmike/gekko
solana-labs,solana,9800,https://github.com/solana-labs/solana
bbfamily,abu,9500,https://github.com/bbfamily/abu
dvf,blockchain,7200,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6600,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6400,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6100,https://github.com/spesmilo/electrum
butor,blackbird,5700,https://github.com/butor/blackbird
btcsuite,btcd,5100,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4800,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4500,https://github.com/bitcoinj/bitcoinj
jesse-ai,jesse,4400,https://github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,4200,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4200,https://github.com/bisq-network/bisq
btcpayserver,btcpayserver,4100,https://github.com/btcpayserver/btcpayserver
