username,repo_name,stars,repu_url
CSSEGISandData,COVID-19,29200,https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,29200,https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,29200,https://github.com/covid19india/covid19india-react
tokyo-metropolitan-gov,covid19,29200,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,29200,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,29200,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,29200,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,29200,https://github.com/disease-sh/API
geohot,corona,29200,https://github.com/geohot/corona
WorldHealthOrganization,app,29200,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,29200,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,29200,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,29200,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,29200,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,29200,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,29200,https://github.com/mhdhejazi/CoronaTracker
chandrikadeb7,Face-Mask-Detection,29200,https://github.com/chandrikadeb7/Face-Mask-Detection
neherlab,covid19_scenarios,29200,https://github.com/neherlab/covid19_scenarios
pomber,covid19,29200,https://github.com/pomber/covid19
covidpass-org,covidpass,29200,https://github.com/covidpass-org/covidpass
