username,repo_name,stars,repu_url
iamadamdev,bypass-paywalls-chrome,32100,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,32100,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,32100,https://github.com/refined-github/refined-github
darkreader,darkreader,32100,https://github.com/darkreader/darkreader
checkly,headless-recorder,32100,https://github.com/checkly/headless-recorder
unbug,codelf,32100,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,32100,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,32100,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,32100,https://github.com/gildas-lormeau/SingleFile
dailydotdev,daily,32100,https://github.com/dailydotdev/daily
listen1,listen1_chrome_extension,32100,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,32100,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,32100,https://github.com/alyssaxuu/screenity
wong2,chat-gpt-google-extension,32100,https://github.com/wong2/chat-gpt-google-extension
Kenshin,simpread,32100,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,32100,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,32100,https://github.com/AutomaApp/automa
alyssaxuu,omni,32100,https://github.com/alyssaxuu/omni
dessant,buster,32100,https://github.com/dessant/buster
manojVivek,medium-unlimited,32100,https://github.com/manojVivek/medium-unlimited
