username,repo_name,stars,repu_url
metabase,metabase,30900,https://github.com/metabase/metabase
penpot,penpot,30900,https://github.com/penpot/penpot
logseq,logseq,30900,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,30900,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,30900,https://github.com/LightTable/LightTable
kanaka,mal,30900,https://github.com/kanaka/mal
lk-geimfari,awesomo,30900,https://github.com/lk-geimfari/awesomo
tonsky,datascript,30900,https://github.com/tonsky/datascript
reagent-project,reagent,30900,https://github.com/reagent-project/reagent
riemann,riemann,30900,https://github.com/riemann/riemann
weavejester,compojure,30900,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,30900,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,30900,https://github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,30900,https://github.com/status-im/status-mobile
ring-clojure,ring,30900,https://github.com/ring-clojure/ring
clojure-emacs,cider,30900,https://github.com/clojure-emacs/cider
babashka,babashka,30900,https://github.com/babashka/babashka
viebel,klipse,30900,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,30900,https://github.com/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,30900,https://github.com/bhauman/lein-figwheel
