username,repo_name,stars,repu_url
realm,SwiftLint,16900,https://github.com/realm/SwiftLint
facebook,infer,16900,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,16900,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,16900,https://github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,16900,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,16900,https://github.com/SonarSource/sonarqube
facebook,pyre-check,16900,https://github.com/facebook/pyre-check
reviewdog,reviewdog,16900,https://github.com/reviewdog/reviewdog
detekt,detekt,16900,https://github.com/detekt/detekt
simplecov-ruby,simplecov,16900,https://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,16900,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,16900,https://github.com/PyCQA/pylint
pmd,pmd,16900,https://github.com/pmd/pmd
trekhleb,state-of-the-art-shitcode,16900,https://github.com/trekhleb/state-of-the-art-shitcode
phpro,grumphp,16900,https://github.com/phpro/grumphp
kucherenko,jscpd,16900,https://github.com/kucherenko/jscpd
htmlhint,HTMLHint,16900,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,16900,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,16900,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,16900,https://github.com/uber/piranha
