username,repo_name,stars,repu_url
ohmyzsh,ohmyzsh,154000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,48900,https://github.com/junegunn/fzf
sharkdp,bat,38700,https://github.com/sharkdp/bat
sherlock-project,sherlock,38000,https://github.com/sherlock-project/sherlock
google,zx,35500,https://github.com/google/zx
wagoodman,dive,35100,https://github.com/wagoodman/dive
BurntSushi,ripgrep,34900,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,34200,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,31700,https://github.com/jesseduffield/lazygit
cli,cli,30800,https://github.com/cli/cli
spf13,cobra,30100,https://github.com/spf13/cobra
n8n-io,n8n,27200,https://github.com/n8n-io/n8n
alebcay,awesome-shell,25900,https://github.com/alebcay/awesome-shell
angular,angular-cli,25900,https://github.com/angular/angular-cli
sharkdp,fd,25800,https://github.com/sharkdp/fd
httpie,httpie,25400,https://github.com/httpie/httpie
ibraheemdev,modern-unix,25100,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,23600,https://github.com/tqdm/tqdm
google,python-fire,23600,https://github.com/google/python-fire
vercel,pkg,22500,https://github.com/vercel/pkg
