username,repo_name,stars,repu_url
vercel,next.js,98200,https://github.com/vercel/next.js
rust-lang,rust,75900,https://github.com/rust-lang/rust
sveltejs,svelte,64300,https://github.com/sveltejs/svelte
webpack,webpack,62200,https://github.com/webpack/webpack
gatsbyjs,gatsby,54000,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,43400,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,41800,https://github.com/parcel-bundler/parcel
babel,babel,41800,https://github.com/babel/babel
evanw,esbuild,34200,https://github.com/evanw/esbuild
vlang,v,31100,https://github.com/vlang/v
carbon-language,carbon-lang,29100,https://github.com/carbon-language/carbon-lang
markedjs,marked,28800,https://github.com/markedjs/marked
swc-project,swc,25300,https://github.com/swc-project/swc
vercel,pkg,22500,https://github.com/vercel/pkg
v8,v8,20600,https://github.com/v8/v8
ziglang,zig,19000,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,15000,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,14300,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13400,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,13000,https://github.com/RustPython/RustPython
